State,District,State ID,District ID,IMD Code,IMD_Advisory_link
Chhattisgarh,Dhamtari,23,2303,23_2303,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2303_2023-02-07_E.pdf
Chhattisgarh,Durg,23,2304,23_2304,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2304_2023-02-07_E.pdf
Chhattisgarh,Garaiband,23,2323,23_2323,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2323_2023-02-07_E.pdf
Chhattisgarh,Janjgir-Champa,23,2311,23_2311,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2311_2023-02-07_E.pdf
Chhattisgarh,Jashpur,23,2316,23_2316,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2316_2023-02-07_E.pdf
Chhattisgarh,Kabeerdham,23,2306,23_2306,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2306_2023-02-07_E.pdf
Chhattisgarh,Kondagaon,23,2324,23_2324,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2324_2023-02-07_E.pdf
Chhattisgarh,Korba,23,2312,23_2312,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2312_2023-02-07_E.pdf
Chhattisgarh,Korea,23,2314,23_2314,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2314_2023-02-07_E.pdf
Chhattisgarh,Mahasamund,23,2302,23_2302,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2302_2023-02-07_E.pdf
Chhattisgarh,Mungeli,23,2321,23_2321,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2321_2023-02-07_E.pdf
Chhattisgarh,Narayanpur,23,2318,23_2318,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2318_2023-02-07_E.pdf
Chhattisgarh,Raigarh,23,2315,23_2315,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2315_2023-02-07_E.pdf
Chhattisgarh,Raipur,23,2301,23_2301,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2301_2023-02-07_E.pdf
Chhattisgarh,Rajnandgaon,23,2305,23_2305,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2305_2023-02-07_E.pdf
Chhattisgarh,Sukma,23,2325,23_2325,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2325_2023-02-07_E.pdf
Chhattisgarh,Surajpur,23,2327,23_2327,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2327_2023-02-07_E.pdf
Chhattisgarh,Surguja,23,2313,23_2313,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2313_2023-02-07_E.pdf
Chhattisgarh,Uttar Bastar Kanker,23,2308,23_2308,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/23_2308_2023-02-07_E.pdf
Delhi,Central Delhi (Daryaganj),35,3506,35_3506,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/35_3506_2023-02-07_E.pdf
Delhi,North Delhi (Narela),35,3502,35_3502,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/35_3502_2023-02-07_E.pdf
Delhi,North West Delhi (Kanjhawala),35,3501,35_3501,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/35_3501_2023-02-07_E.pdf
Delhi,South West Delhi (Dwarka),35,3508,35_3508,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/35_3508_2023-02-07_E.pdf
Goa,Goa North,40,4099,40_4099,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/40_4099_2023-02-07_E.pdf
Goa,Goa South,40,4000,40_4000,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/40_4000_2023-02-07_E.pdf
Gujarat,Ahmedabad,4,401,04_0401,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0401_2023-02-07_E.pdf
Gujarat,Amreli,4,413,04_0413,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0413_2023-02-07_E.pdf
Gujarat,Anand,4,425,04_0425,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0425_2023-02-07_E.pdf
Gujarat,Aravalli,4,421,04_0421,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0421_2023-02-07_E.pdf
Gujarat,Banas Kantha,4,402,04_0402,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0402_2023-02-07_E.pdf
Gujarat,Bharuch,4,404,04_0404,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0404_2023-02-07_E.pdf
Gujarat,Bhavnagar,4,414,04_0414,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0414_2023-02-07_E.pdf
Gujarat,Botad,4,423,04_0423,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0423_2023-02-07_E.pdf
Gujarat,Chhota Udaipur,4,429,04_0429,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0429_2023-02-07_E.pdf
Gujarat,Dahod,4,424,04_0424,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0424_2023-02-07_E.pdf
Gujarat,Dangs,4,406,04_0406,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0406_2023-02-07_E.pdf
Gujarat,Devbhoomi Dwarka,4,430,04_0430,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0430_2023-02-07_E.pdf
Gujarat,Gandhinagar,4,407,04_0407,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0407_2023-02-07_E.pdf
Gujarat,Gir Somnath,4,433,04_0433,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0433_2023-02-07_E.pdf
Gujarat,Jamnagar,4,415,04_0415,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0415_2023-02-07_E.pdf
Gujarat,Junagadh,4,416,04_0416,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0416_2023-02-07_E.pdf
Gujarat,Kachchh,4,417,04_0417,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0417_2023-02-07_E.pdf
Gujarat,Kheda,4,408,04_0408,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0408_2023-02-07_E.pdf
Gujarat,Mahesana,4,409,04_0409,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0409_2023-02-07_E.pdf
Gujarat,Mahisagar,4,431,04_0431,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0431_2023-02-07_E.pdf
Gujarat,Morbi,4,432,04_0432,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0432_2023-02-07_E.pdf
Gujarat,Narmada,4,428,04_0428,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0428_2023-02-07_E.pdf
Gujarat,Navsari,4,422,04_0422,https://www.imdagrimet.gov.in/accessData.php?path=Files/District AAS Bulletin/English Bulletin/04_0422_2023-02-07_E.pdf
